voter_gender,voter_ethnicity,player_count,baseline_proportion,Round,Season
female,white,2,0.25,6,C1
male,person_of_color,2,0.25,6,C1
male,white,3,0.375,6,C1
female,person_of_color,7,0.1346153846153846,7,all
female,white,18,0.34615384615384615,7,all
male,person_of_color,6,0.11538461538461539,7,all
male,white,21,0.40384615384615385,7,all
female,person_of_color,1,0.1,7,1
female,white,5,0.5,7,1
male,white,4,0.4,7,1
female,person_of_color,1,0.08333333333333333,7,2
female,white,4,0.3333333333333333,7,2
male,person_of_color,2,0.16666666666666666,7,2
male,white,5,0.4166666666666667,7,2
female,person_of_color,2,0.15384615384615385,7,3
female,white,5,0.38461538461538464,7,3
male,person_of_color,1,0.07692307692307693,7,3
male,white,5,0.38461538461538464,7,3
female,person_of_color,2,0.18181818181818182,7,4
female,white,3,0.2727272727272727,7,4
male,person_of_color,1,0.09090909090909091,7,4
male,white,5,0.45454545454545453,7,4
female,person_of_color,1,0.16666666666666666,7,C1
female,white,1,0.16666666666666666,7,C1
male,person_of_color,2,0.3333333333333333,7,C1
male,white,2,0.3333333333333333,7,C1
female,person_of_color,6,0.13636363636363635,8,all
female,white,14,0.3181818181818182,8,all
male,person_of_color,5,0.11363636363636363,8,all
male,white,19,0.4318181818181818,8,all
female,white,5,0.625,8,1
male,white,3,0.375,8,1
female,person_of_color,1,0.09090909090909091,8,2
female,white,4,0.36363636363636365,8,2
male,person_of_color,1,0.09090909090909091,8,2
male,white,5,0.45454545454545453,8,2
female,person_of_color,2,0.18181818181818182,8,3
female,white,3,0.2727272727272727,8,3
male,person_of_color,1,0.09090909090909091,8,3
male,white,5,0.45454545454545453,8,3
female,person_of_color,2,0.2222222222222222,8,4
female,white,2,0.2222222222222222,8,4
male,person_of_color,1,0.1111111111111111,8,4
male,white,4,0.4444444444444444,8,4
female,person_of_color,1,0.2,8,C1
male,person_of_color,2,0.4,8,C1
male,white,2,0.4,8,C1
female,person_of_color,5,0.15625,9,all
female,white,9,0.28125,9,all
male,person_of_color,3,0.09375,9,all
male,white,15,0.46875,9,all
female,white,3,0.5,9,1
male,white,3,0.5,9,1
female,person_of_color,1,0.1111111111111111,9,2
female,white,3,0.3333333333333333,9,2
male,person_of_color,1,0.1111111111111111,9,2
male,white,4,0.4444444444444444,9,2
female,person_of_color,2,0.2222222222222222,9,3
female,white,2,0.2222222222222222,9,3
male,person_of_color,1,0.1111111111111111,9,3
male,white,4,0.4444444444444444,9,3
female,person_of_color,2,0.25,9,4
female,white,1,0.125,9,4
male,person_of_color,1,0.125,9,4
male,white,4,0.5,9,4
female,person_of_color,4,0.15384615384615385,10,all
female,white,7,0.2692307692307692,10,all
male,person_of_color,2,0.07692307692307693,10,all
male,white,13,0.5,10,all
female,white,2,0.4,10,1
male,white,3,0.6,10,1
female,person_of_color,1,0.125,10,2
female,white,2,0.25,10,2
male,person_of_color,1,0.125,10,2
male,white,4,0.5,10,2
female,person_of_color,2,0.2857142857142857,10,3
female,white,2,0.2857142857142857,10,3
male,white,3,0.42857142857142855,10,3
female,person_of_color,1,0.16666666666666666,10,4
female,white,1,0.16666666666666666,10,4
male,person_of_color,1,0.16666666666666666,10,4
male,white,3,0.5,10,4
female,person_of_color,3,0.17647058823529413,11,all
female,white,5,0.29411764705882354,11,all
male,person_of_color,2,0.11764705882352941,11,all
male,white,7,0.4117647058823529,11,all
female,person_of_color,1,0.16666666666666666,11,2
female,white,2,0.3333333333333333,11,2
male,person_of_color,1,0.16666666666666666,11,2
male,white,2,0.3333333333333333,11,2
female,person_of_color,1,0.16666666666666666,11,3
female,white,2,0.3333333333333333,11,3
male,white,3,0.5,11,3
female,person_of_color,1,0.2,11,4
female,white,1,0.2,11,4
male,person_of_color,1,0.2,11,4
male,white,2,0.4,11,4
female,person_of_color,1,0.1,12,all
female,white,4,0.4,12,all
male,person_of_color,1,0.1,12,all
male,white,4,0.4,12,all
female,white,2,0.4,12,2
male,person_of_color,1,0.2,12,2
male,white,2,0.4,12,2
female,person_of_color,1,0.2,12,3
female,white,2,0.4,12,3
male,white,2,0.4,12,3
