player,target,round_table,second_turn,Season
C1_Mark Bonnar,Banished(Episode 6),8,,C1
C1_Charlotte Church,C1_Niko Omilana,1,,C1
C1_Charlotte Church,C1_Tameka Empson,2,,C1
C1_Charlotte Church,C1_Clare Balding,3,,C1
C1_Charlotte Church,Murdered(Episode 5),4,,C1
C1_Charlotte Church,Murdered(Episode 5),5,,C1
C1_Charlotte Church,Murdered(Episode 5),6,,C1
C1_Charlotte Church,Murdered(Episode 5),7,,C1
C1_Charlotte Church,Murdered(Episode 5),8,,C1
C1_Clare Balding,C1_Niko Omilana,1,,C1
C1_Clare Balding,C1_Alan Carr,2,,C1
C1_Clare Balding,C1_Charlotte Church,3,,C1
C1_Clare Balding,Banished(Episode 4),4,,C1
C1_Clare Balding,Banished(Episode 4),5,,C1
C1_Clare Balding,Banished(Episode 4),6,,C1
C1_Clare Balding,Banished(Episode 4),7,,C1
C1_Clare Balding,Banished(Episode 4),8,,C1
C1_Ruth Codd,C1_Kate Garraway,1,,C1
C1_Ruth Codd,C1_Jonathan Ross,2,,C1
C1_Ruth Codd,Murdered(Episode 4),3,,C1
C1_Ruth Codd,Murdered(Episode 4),4,,C1
C1_Ruth Codd,Murdered(Episode 4),5,,C1
C1_Ruth Codd,Murdered(Episode 4),6,,C1
C1_Ruth Codd,Murdered(Episode 4),7,,C1
C1_Ruth Codd,Murdered(Episode 4),8,,C1
C1_Tameka Empson,C1_Kate Garraway,1,,C1
C1_Tameka Empson,C1_Celia Imrie,2,,C1
C1_Tameka Empson,Banished(Episode 3),3,,C1
C1_Tameka Empson,Banished(Episode 3),4,,C1
C1_Tameka Empson,Banished(Episode 3),5,,C1
C1_Tameka Empson,Banished(Episode 3),6,,C1
C1_Tameka Empson,Banished(Episode 3),7,,C1
C1_Tameka Empson,Banished(Episode 3),8,,C1
C1_Tom Daley,C1_Niko Omilana,1,,C1
C1_Tom Daley,Murdered(Episode 3),2,,C1
C1_Tom Daley,Murdered(Episode 3),3,,C1
C1_Tom Daley,Murdered(Episode 3),4,,C1
C1_Tom Daley,Murdered(Episode 3),5,,C1
C1_Tom Daley,Murdered(Episode 3),6,,C1
C1_Tom Daley,Murdered(Episode 3),7,,C1
C1_Tom Daley,Murdered(Episode 3),8,,C1
C1_Niko Omilana,C1_Tom Daley,1,,C1
C1_Niko Omilana,Banished(Episode 3),2,,C1
C1_Niko Omilana,Banished(Episode 3),3,,C1
C1_Niko Omilana,Banished(Episode 3),4,,C1
C1_Niko Omilana,Banished(Episode 3),5,,C1
C1_Niko Omilana,Banished(Episode 3),6,,C1
C1_Niko Omilana,Banished(Episode 3),7,,C1
C1_Niko Omilana,Banished(Episode 3),8,,C1
C1_Paloma Faith,Murdered(Episode 2),1,,C1
C1_Paloma Faith,Murdered(Episode 2),2,,C1
C1_Paloma Faith,Murdered(Episode 2),3,,C1
C1_Paloma Faith,Murdered(Episode 2),4,,C1
C1_Paloma Faith,Murdered(Episode 2),5,,C1
C1_Paloma Faith,Murdered(Episode 2),6,,C1
C1_Paloma Faith,Murdered(Episode 2),7,,C1
C1_Paloma Faith,Murdered(Episode 2),8,,C1
