player,target,round_table,Season
3_Jake Brown,3_Linda Rands,1,3
3_Jake Brown,3_Elen Wyn,2,3
3_Jake Brown,3_Armani Gouveia,3,3
3_Jake Brown,3_Kasim Ahmed,4,3
3_Jake Brown,3_Tyler Smith,5,3
3_Jake Brown,3_Linda Rands,6,3
3_Jake Brown,3_Linda Rands,7,3
3_Jake Brown,3_Alex Oleksy,8,3
3_Jake Brown,3_Francesca Rowan-Plowden,9,3
3_Jake Brown,3_Freddie Fraser,10,3
3_Jake Brown,3_Freddie Fraser,11,3
3_Jake Brown,3_Charlotte Berman,12,3
3_Leanne Quigley,3_Charlotte Berman,1,3
3_Leanne Quigley,3_Charlotte Berman,2,3
3_Leanne Quigley,3_Armani Gouveia,3,3
3_Leanne Quigley,3_Freddie Fraser,4,3
3_Leanne Quigley,3_Tyler Smith,5,3
3_Leanne Quigley,3_Dan Bird,6,3
3_Leanne Quigley,3_Linda Rands,7,3
3_Leanne Quigley,3_Alex Oleksy,8,3
3_Leanne Quigley,3_Francesca Rowan-Plowden,9,3
3_Leanne Quigley,3_Alexander Dragonetti,10,3
3_Leanne Quigley,3_Freddie Fraser,11,3
3_Leanne Quigley,3_Charlotte Berman,12,3
3_Francesca Rowan-Plowden,3_Nathan Khider,1,3
3_Francesca Rowan-Plowden,3_Kasim Ahmed,2,3
3_Francesca Rowan-Plowden,3_Maia Gouveia,3,3
3_Francesca Rowan-Plowden,3_Freddie Fraser,4,3
3_Francesca Rowan-Plowden,3_Tyler Smith,5,3
3_Francesca Rowan-Plowden,3_Alex Oleksy,6,3
3_Francesca Rowan-Plowden,3_Leanne Quigley,7,3
3_Francesca Rowan-Plowden,3_Alex Oleksy,8,3
3_Francesca Rowan-Plowden,3_Leon Jackman,9,3
3_Francesca Rowan-Plowden,3_Minah Shannon,10,3
3_Francesca Rowan-Plowden,3_Freddie Fraser,11,3
3_Francesca Rowan-Plowden,3_Charlotte Berman,12,3
3_Alexander Dragonetti,Eliminated(Episode 1),1,3
3_Alexander Dragonetti,Eliminated(Episode 1),2,3
3_Alexander Dragonetti,Eliminated(Episode 1),3,3
3_Alexander Dragonetti,No vote,4,3
3_Alexander Dragonetti,3_Lisa Coupland,5,3
3_Alexander Dragonetti,3_Linda Rands,6,3
3_Alexander Dragonetti,3_Leanne Quigley,7,3
3_Alexander Dragonetti,3_Alex Oleksy,8,3
