player,target,round_table,Season
3_Alexander Dragonetti,3_Leon Jackman,9,3
3_Alexander Dragonetti,3_Minah Shannon,10,3
3_Alexander Dragonetti,3_Freddie Fraser,11,3
3_Alexander Dragonetti,3_Charlotte Berman,12,3
3_Charlotte Berman,3_Keith Stewart,1,3
3_Charlotte Berman,3_Kasim Ahmed,2,3
3_Charlotte Berman,3_Kasim Ahmed,3,3
3_Charlotte Berman,3_Anna Duke,4,3
3_Charlotte Berman,3_Tyler Smith,5,3
3_Charlotte Berman,3_Linda Rands,6,3
3_Charlotte Berman,3_Linda Rands,7,3
3_Charlotte Berman,3_Leon Jackman,8,3
3_Charlotte Berman,3_Leon Jackman,9,3
3_Charlotte Berman,3_Minah Shannon,10,3
3_Charlotte Berman,3_Freddie Fraser,11,3
3_Charlotte Berman,3_Francesca Rowan-Plowden,12,3
3_Freddie Fraser,3_Elen Wyn,1,3
3_Freddie Fraser,3_Elen Wyn,2,3
3_Freddie Fraser,3_Armani Gouveia,3,3
3_Freddie Fraser,3_Kasim Ahmed,4,3
3_Freddie Fraser,3_Tyler Smith,5,3
3_Freddie Fraser,3_Dan Bird,6,3
3_Freddie Fraser,3_Linda Rands,7,3
3_Freddie Fraser,3_Alex Oleksy,8,3
3_Freddie Fraser,3_Leon Jackman,9,3
3_Freddie Fraser,3_Minah Shannon,10,3
3_Freddie Fraser,3_Charlotte Berman,11,3
3_Freddie Fraser,Banished(Episode 11),12,3
3_Minah Shannon,"3_Olivia ""Livi"" Deane",1,3
3_Minah Shannon,3_Charlotte Berman,2,3
3_Minah Shannon,3_Armani Gouveia,3,3
3_Minah Shannon,3_Kasim Ahmed,4,3
3_Minah Shannon,3_Tyler Smith,5,3
3_Minah Shannon,3_Dan Bird,6,3
3_Minah Shannon,3_Linda Rands,7,3
3_Minah Shannon,3_Alex Oleksy,8,3
3_Minah Shannon,3_Francesca Rowan-Plowden,9,3
3_Minah Shannon,3_Freddie Fraser,10,3
3_Minah Shannon,Banished(Episode 10),11,3
3_Minah Shannon,Banished(Episode 10),12,3
3_Joe Scott,3_Nathan Khider,1,3
3_Joe Scott,3_Kasim Ahmed,2,3
3_Joe Scott,3_Kasim Ahmed,3,3
3_Joe Scott,3_Kasim Ahmed,4,3
3_Joe Scott,3_Tyler Smith,5,3
3_Joe Scott,3_Linda Rands,6,3
3_Joe Scott,3_Linda Rands,7,3
3_Joe Scott,3_Alex Oleksy,8,3
3_Joe Scott,3_Leon Jackman,9,3
3_Joe Scott,Murdered(Episode 10),10,3
3_Joe Scott,Murdered(Episode 10),11,3
3_Joe Scott,Murdered(Episode 10),12,3
3_Leon Jackman,3_Francesca Rowan-Plowden,1,3
3_Leon Jackman,3_Elen Wyn,2,3
3_Leon Jackman,3_Armani Gouveia,3,3
3_Leon Jackman,3_Kasim Ahmed,4,3
3_Leon Jackman,3_Tyler Smith,5,3
3_Leon Jackman,3_Dan Bird,6,3
3_Leon Jackman,3_Linda Rands,7,3
3_Leon Jackman,3_Alex Oleksy,8,3
3_Leon Jackman,3_Francesca Rowan-Plowden,9,3
3_Leon Jackman,Banished(Episode 9),10,3
3_Leon Jackman,Banished(Episode 9),11,3
3_Leon Jackman,Banished(Episode 9),12,3
3_Lisa Coupland,3_Charlotte Berman,1,3
3_Lisa Coupland,3_Francesca Rowan-Plowden,2,3
3_Lisa Coupland,3_Joe Scott,3,3
3_Lisa Coupland,3_Anna Duke,4,3
3_Lisa Coupland,3_Tyler Smith,5,3
3_Lisa Coupland,3_Dan Bird,6,3
3_Lisa Coupland,3_Alexander Dragonetti,7,3
3_Lisa Coupland,3_Leon Jackman,8,3
3_Lisa Coupland,Murdered(Episode 9),9,3
3_Lisa Coupland,Murdered(Episode 9),10,3
3_Lisa Coupland,Murdered(Episode 9),11,3
3_Lisa Coupland,Murdered(Episode 9),12,3
3_Alex Oleksy,3_Nathan Khider,1,3
3_Alex Oleksy,3_Elen Wyn,2,3
3_Alex Oleksy,3_Armani Gouveia,3,3
3_Alex Oleksy,3_Anna Duke,4,3
3_Alex Oleksy,3_Tyler Smith,5,3
3_Alex Oleksy,3_Dan Bird,6,3
3_Alex Oleksy,3_Leanne Quigley,7,3
3_Alex Oleksy,3_Freddie Fraser,8,3
3_Alex Oleksy,Banished(Episode 8),9,3
3_Alex Oleksy,Banished(Episode 8),10,3
3_Alex Oleksy,Banished(Episode 8),11,3
3_Alex Oleksy,Banished(Episode 8),12,3
3_Anna Duke,3_Nathan Khider,1,3
3_Anna Duke,3_Elen Wyn,2,3
3_Anna Duke,3_Kasim Ahmed,3,3
3_Anna Duke,3_Kasim Ahmed,4,3
3_Anna Duke,3_Lisa Coupland,5,3
3_Anna Duke,3_Alex Oleksy,6,3
3_Anna Duke,3_Minah Shannon,7,3
3_Anna Duke,Murdered(Episode 8),8,3
3_Anna Duke,Murdered(Episode 8),9,3
3_Anna Duke,Murdered(Episode 8),10,3
3_Anna Duke,Murdered(Episode 8),11,3
3_Anna Duke,Murdered(Episode 8),12,3
3_Linda Rands,3_Jake Brown,1,3
3_Linda Rands,3_Elen Wyn,2,3
3_Linda Rands,3_Jake Brown,3,3
3_Linda Rands,3_Anna Duke,4,3
3_Linda Rands,3_Tyler Smith,5,3
3_Linda Rands,3_Fozia Fazil,6,3
3_Linda Rands,3_Alexander Dragonetti,7,3
3_Linda Rands,Banished(Episode 7),8,3
3_Linda Rands,Banished(Episode 7),9,3
3_Linda Rands,Banished(Episode 7),10,3
3_Linda Rands,Banished(Episode 7),11,3
3_Linda Rands,Banished(Episode 7),12,3
3_Fozia Fazil,Eliminated(Episode 1),1,3
3_Fozia Fazil,Eliminated(Episode 1),2,3
3_Fozia Fazil,Eliminated(Episode 1),3,3
3_Fozia Fazil,No vote,4,3
3_Fozia Fazil,3_Lisa Coupland,5,3
3_Fozia Fazil,3_Dan Bird,6,3
3_Fozia Fazil,Murdered(Episode 7),7,3
3_Fozia Fazil,Murdered(Episode 7),8,3
3_Fozia Fazil,Murdered(Episode 7),9,3
3_Fozia Fazil,Murdered(Episode 7),10,3
3_Fozia Fazil,Murdered(Episode 7),11,3
3_Fozia Fazil,Murdered(Episode 7),12,3
3_Dan Bird,3_Nathan Khider,1,3
3_Dan Bird,3_Freddie Fraser,2,3
3_Dan Bird,3_Armani Gouveia,3,3
3_Dan Bird,3_Anna Duke,4,3
3_Dan Bird,3_Tyler Smith,5,3
3_Dan Bird,3_Leanne Quigley,6,3
3_Dan Bird,Banished(Episode 6),7,3
3_Dan Bird,Banished(Episode 6),8,3
3_Dan Bird,Banished(Episode 6),9,3
3_Dan Bird,Banished(Episode 6),10,3
3_Dan Bird,Banished(Episode 6),11,3
3_Dan Bird,Banished(Episode 6),12,3
"3_Olivia ""Livi"" Deane",3_Elen Wyn,1,3
"3_Olivia ""Livi"" Deane",3_Elen Wyn,2,3
"3_Olivia ""Livi"" Deane",3_Armani Gouveia,3,3
"3_Olivia ""Livi"" Deane",3_Freddie Fraser,4,3
"3_Olivia ""Livi"" Deane",3_Freddie Fraser,5,3
"3_Olivia ""Livi"" Deane",Murdered(Episode 6),6,3
"3_Olivia ""Livi"" Deane",Murdered(Episode 6),7,3
"3_Olivia ""Livi"" Deane",Murdered(Episode 6),8,3
"3_Olivia ""Livi"" Deane",Murdered(Episode 6),9,3
"3_Olivia ""Livi"" Deane",Murdered(Episode 6),10,3
"3_Olivia ""Livi"" Deane",Murdered(Episode 6),11,3
"3_Olivia ""Livi"" Deane",Murdered(Episode 6),12,3
3_Tyler Smith,3_Linda Rands,1,3
3_Tyler Smith,3_Elen Wyn,2,3
3_Tyler Smith,3_Armani Gouveia,3,3
3_Tyler Smith,3_Kasim Ahmed,4,3
3_Tyler Smith,3_Freddie Fraser,5,3
3_Tyler Smith,Banished(Episode 5),6,3
3_Tyler Smith,Banished(Episode 5),7,3
3_Tyler Smith,Banished(Episode 5),8,3
3_Tyler Smith,Banished(Episode 5),9,3
3_Tyler Smith,Banished(Episode 5),10,3
3_Tyler Smith,Banished(Episode 5),11,3
3_Tyler Smith,Banished(Episode 5),12,3
3_Kasim Ahmed,3_Nathan Khider,1,3
3_Kasim Ahmed,3_Charlotte Berman,2,3
3_Kasim Ahmed,3_Freddie Fraser,3,3
3_Kasim Ahmed,3_Freddie Fraser,4,3
3_Kasim Ahmed,Banished(Episode 4),5,3
3_Kasim Ahmed,Banished(Episode 4),6,3
3_Kasim Ahmed,Banished(Episode 4),7,3
3_Kasim Ahmed,Banished(Episode 4),8,3
3_Kasim Ahmed,Banished(Episode 4),9,3
3_Kasim Ahmed,Banished(Episode 4),10,3
3_Kasim Ahmed,Banished(Episode 4),11,3
3_Kasim Ahmed,Banished(Episode 4),12,3
3_Maia Gouveia,3_Anna Duke,1,3
3_Maia Gouveia,3_Elen Wyn,2,3
3_Maia Gouveia,3_Freddie Fraser,3,3
3_Maia Gouveia,Murdered(Episode 4),4,3
3_Maia Gouveia,Murdered(Episode 4),5,3
3_Maia Gouveia,Murdered(Episode 4),6,3
3_Maia Gouveia,Murdered(Episode 4),7,3
3_Maia Gouveia,Murdered(Episode 4),8,3
3_Maia Gouveia,Murdered(Episode 4),9,3
3_Maia Gouveia,Murdered(Episode 4),10,3
3_Maia Gouveia,Murdered(Episode 4),11,3
3_Maia Gouveia,Murdered(Episode 4),12,3
3_Armani Gouveia,3_Nathan Khider,1,3
3_Armani Gouveia,3_Charlotte Berman,2,3
3_Armani Gouveia,3_Charlotte Berman,3,3
3_Armani Gouveia,Banished(Episode 3),4,3
3_Armani Gouveia,Banished(Episode 3),5,3
3_Armani Gouveia,Banished(Episode 3),6,3
3_Armani Gouveia,Banished(Episode 3),7,3
3_Armani Gouveia,Banished(Episode 3),8,3
3_Armani Gouveia,Banished(Episode 3),9,3
3_Armani Gouveia,Banished(Episode 3),10,3
3_Armani Gouveia,Banished(Episode 3),11,3
3_Armani Gouveia,Banished(Episode 3),12,3
3_Elen Wyn,3_Linda Rands,1,3
3_Elen Wyn,3_Linda Rands,2,3
3_Elen Wyn,Banished(Episode 2),3,3
3_Elen Wyn,Banished(Episode 2),4,3
3_Elen Wyn,Banished(Episode 2),5,3
3_Elen Wyn,Banished(Episode 2),6,3
3_Elen Wyn,Banished(Episode 2),7,3
3_Elen Wyn,Banished(Episode 2),8,3
3_Elen Wyn,Banished(Episode 2),9,3
3_Elen Wyn,Banished(Episode 2),10,3
3_Elen Wyn,Banished(Episode 2),11,3
3_Elen Wyn,Banished(Episode 2),12,3
3_Keith Stewart,3_Nathan Khider,1,3
3_Keith Stewart,Murdered(Episode 2),2,3
3_Keith Stewart,Murdered(Episode 2),3,3
3_Keith Stewart,Murdered(Episode 2),4,3
3_Keith Stewart,Murdered(Episode 2),5,3
3_Keith Stewart,Murdered(Episode 2),6,3
3_Keith Stewart,Murdered(Episode 2),7,3
3_Keith Stewart,Murdered(Episode 2),8,3
3_Keith Stewart,Murdered(Episode 2),9,3
3_Keith Stewart,Murdered(Episode 2),10,3
3_Keith Stewart,Murdered(Episode 2),11,3
3_Keith Stewart,Murdered(Episode 2),12,3
3_Nathan Khider,3_Linda Rands,1,3
3_Nathan Khider,Banished(Episode 2),2,3
3_Nathan Khider,Banished(Episode 2),3,3
3_Nathan Khider,Banished(Episode 2),4,3
3_Nathan Khider,Banished(Episode 2),5,3
3_Nathan Khider,Banished(Episode 2),6,3
3_Nathan Khider,Banished(Episode 2),7,3
3_Nathan Khider,Banished(Episode 2),8,3
3_Nathan Khider,Banished(Episode 2),9,3
3_Nathan Khider,Banished(Episode 2),10,3
3_Nathan Khider,Banished(Episode 2),11,3
3_Nathan Khider,Banished(Episode 2),12,3
3_Yin Lü,Murdered(Episode 1),1,3
3_Yin Lü,Murdered(Episode 1),2,3
3_Yin Lü,Murdered(Episode 1),3,3
3_Yin Lü,Murdered(Episode 1),4,3
3_Yin Lü,Murdered(Episode 1),5,3
3_Yin Lü,Murdered(Episode 1),6,3
3_Yin Lü,Murdered(Episode 1),7,3
3_Yin Lü,Murdered(Episode 1),8,3
3_Yin Lü,Murdered(Episode 1),9,3
3_Yin Lü,Murdered(Episode 1),10,3
3_Yin Lü,Murdered(Episode 1),11,3
3_Yin Lü,Murdered(Episode 1),12,3
3_Jack Marriner-Brown,Eliminated(Episode 1),1,3
3_Jack Marriner-Brown,Eliminated(Episode 1),2,3
3_Jack Marriner-Brown,Eliminated(Episode 1),3,3
3_Jack Marriner-Brown,Eliminated(Episode 1),4,3
3_Jack Marriner-Brown,Eliminated(Episode 1),5,3
3_Jack Marriner-Brown,Eliminated(Episode 1),6,3
3_Jack Marriner-Brown,Eliminated(Episode 1),7,3
3_Jack Marriner-Brown,Eliminated(Episode 1),8,3
3_Jack Marriner-Brown,Eliminated(Episode 1),9,3
3_Jack Marriner-Brown,Eliminated(Episode 1),10,3
3_Jack Marriner-Brown,Eliminated(Episode 1),11,3
3_Jack Marriner-Brown,Eliminated(Episode 1),12,3
