player,target,round_table,Season
1_Aaron Evans,1_Imran Nasim,1,1
1_Aaron Evans,1_Imran Nasim,2,1
1_Aaron Evans,1_Alex Gray,3,1
1_Aaron Evans,1_Tom Elderfield,4,1
1_Aaron Evans,1_Rayan Rachedi,5,1
1_Aaron Evans,"1_Madelyn ""Maddy"" Smedley",6,1
1_Aaron Evans,1_Theo Mayne,7,1
1_Aaron Evans,"1_Madelyn ""Maddy"" Smedley",8,1
1_Aaron Evans,"1_Madelyn ""Maddy"" Smedley",9,1
1_Aaron Evans,1_Kieran Tompsett,10,1
1_Hannah Byczkowski,1_Nicky Wilding,1,1
1_Hannah Byczkowski,1_Imran Nasim,2,1
1_Hannah Byczkowski,1_Alex Gray,3,1
1_Hannah Byczkowski,1_Alex Gray,4,1
1_Hannah Byczkowski,1_Alyssa Chan,5,1
1_Hannah Byczkowski,1_Rayan Rachedi,6,1
1_Hannah Byczkowski,"1_Madelyn ""Maddy"" Smedley",7,1
1_Hannah Byczkowski,1_Amanda Lovett,8,1
1_Hannah Byczkowski,"1_Madelyn ""Maddy"" Smedley",9,1
1_Hannah Byczkowski,1_Kieran Tompsett,10,1
1_Meryl Williams,1_Nicky Wilding,1,1
1_Meryl Williams,1_Imran Nasim,2,1
1_Meryl Williams,1_Ivan Brett,3,1
1_Meryl Williams,1_Tom Elderfield,4,1
1_Meryl Williams,"1_Madelyn ""Maddy"" Smedley",5,1
1_Meryl Williams,1_Rayan Rachedi,6,1
1_Meryl Williams,"1_Madelyn ""Maddy"" Smedley",7,1
1_Meryl Williams,1_Amanda Lovett,8,1
1_Meryl Williams,"1_Madelyn ""Maddy"" Smedley",9,1
1_Meryl Williams,1_Kieran Tompsett,10,1
"1_Wilfred ""Wilf"" Webster",1_Nicky Wilding,1,1
"1_Wilfred ""Wilf"" Webster",1_Aaron Evans,2,1
"1_Wilfred ""Wilf"" Webster",1_Ivan Brett,3,1
"1_Wilfred ""Wilf"" Webster",1_Alex Gray,4,1
"1_Wilfred ""Wilf"" Webster",1_Alyssa Chan,5,1
"1_Wilfred ""Wilf"" Webster","1_Madelyn ""Maddy"" Smedley",6,1
"1_Wilfred ""Wilf"" Webster",1_Theo Mayne,7,1
