player,target,round_table,Season,second_turn
4_Jessie Stride,Murdered(Episode 9),11,4,
4_Sam Little,4_Judy Wilson,1,4,
4_Sam Little,4_Hugo Lodge,2,4,
4_Sam Little,4_Reece Ward,3,4,
4_Sam Little,4_Amanda Collier,4,4,Amanda
4_Sam Little,4_Fiona Hughes,5,4,
4_Sam Little,4_Harriet Tyce,6,4,
4_Sam Little,4_Ellie Buckley,7,4,
4_Sam Little,Banished(Episode 8),8,4,
4_Sam Little,Banished(Episode 8),9,4,
4_Sam Little,Banished(Episode 8),10,4,
4_Sam Little,Banished(Episode 8),11,4,
4_Adam Waughman,4_Judy Wilson,1,4,
4_Adam Waughman,4_Hugo Lodge,2,4,
4_Adam Waughman,4_Jade Scott,3,4,
4_Adam Waughman,4_Reece Ward,4,4,Reece
4_Adam Waughman,4_Jade Scott,5,4,
4_Adam Waughman,4_Matthew Hyndman,6,4,
4_Adam Waughman,Murdered(Episode 8),7,4,
4_Adam Waughman,Murdered(Episode 8),8,4,
4_Adam Waughman,Murdered(Episode 8),9,4,
4_Adam Waughman,Murdered(Episode 8),10,4,
4_Adam Waughman,Murdered(Episode 8),11,4,
4_Harriet Tyce,4_Judy Wilson,1,4,
4_Harriet Tyce,4_Hugo Lodge,2,4,
4_Harriet Tyce,4_Ross Garshong,3,4,
4_Harriet Tyce,4_Stephen Libby,4,4,Amanda
4_Harriet Tyce,4_Fiona Hughes,5,4,
4_Harriet Tyce,4_Rachel Duffy,6,4,
4_Harriet Tyce,Banished(Episode 7),7,4,
4_Harriet Tyce,Banished(Episode 7),8,4,
4_Harriet Tyce,Banished(Episode 7),9,4,
4_Harriet Tyce,Banished(Episode 7),10,4,
4_Harriet Tyce,Banished(Episode 7),11,4,
4_Fiona Hughes,4_Judy Wilson,1,4,
4_Fiona Hughes,4_Hugo Lodge,2,4,
4_Fiona Hughes,4_Ross Garshong,3,4,
4_Fiona Hughes,4_Reece Ward,4,4,Reece
4_Fiona Hughes,4_Sam Little,5,4,
4_Fiona Hughes,Banished(Episode 6),6,4,
4_Fiona Hughes,Banished(Episode 6),7,4,
4_Fiona Hughes,Banished(Episode 6),8,4,
4_Fiona Hughes,Banished(Episode 6),9,4,
4_Fiona Hughes,Banished(Episode 6),10,4,
4_Fiona Hughes,Banished(Episode 6),11,4,
4_Reece Ward,4_Adam Waughman,1,4,
4_Reece Ward,4_Hugo Lodge,2,4,
4_Reece Ward,4_Ross Garshong,3,4,
4_Reece Ward,4_Ellie Buckley,4,4,
4_Reece Ward,Murdered(Episode 6),5,4,
4_Reece Ward,Murdered(Episode 6),6,4,
4_Reece Ward,Murdered(Episode 6),7,4,
4_Reece Ward,Murdered(Episode 6),8,4,
4_Reece Ward,Murdered(Episode 6),9,4,
4_Reece Ward,Murdered(Episode 6),10,4,
4_Reece Ward,Murdered(Episode 6),11,4,
4_Amanda Collier,4_Jade Scott,1,4,
4_Amanda Collier,4_Jade Scott,2,4,
4_Amanda Collier,4_Jade Scott,3,4,
4_Amanda Collier,4_Jade Scott,4,4,
4_Amanda Collier,Banished(Episode 5),5,4,
4_Amanda Collier,Banished(Episode 5),6,4,
4_Amanda Collier,Banished(Episode 5),7,4,
4_Amanda Collier,Banished(Episode 5),8,4,
4_Amanda Collier,Banished(Episode 5),9,4,
4_Amanda Collier,Banished(Episode 5),10,4,
4_Amanda Collier,Banished(Episode 5),11,4,
"4_Marzook ""Maz"" Bana",4_Judy Wilson,1,4,
"4_Marzook ""Maz"" Bana",4_Hugo Lodge,2,4,
"4_Marzook ""Maz"" Bana",4_Jade Scott,3,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),4,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),5,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),6,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),7,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),8,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),9,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),10,4,
"4_Marzook ""Maz"" Bana",Murdered(Episode 5),11,4,
4_Ross Garshong,4_Judy Wilson,1,4,
4_Ross Garshong,4_Hugo Lodge,2,4,
4_Ross Garshong,4_Stephen Libby,3,4,
4_Ross Garshong,Banished(Episode 4),4,4,
4_Ross Garshong,Banished(Episode 4),5,4,
4_Ross Garshong,Banished(Episode 4),6,4,
4_Ross Garshong,Banished(Episode 4),7,4,
4_Ross Garshong,Banished(Episode 4),8,4,
4_Ross Garshong,Banished(Episode 4),9,4,
4_Ross Garshong,Banished(Episode 4),10,4,
